"district_type";"district";"party";"rank_list";"name";"birth_year";"beruf";"pref_votes_abs"
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";15;"Hager, Mag. Susanne";1979;"Angestellte";27
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";16;"Michor, Stefan";1990;"Bankangestellter";123
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";17;"Posch, Doris Jasmin";1989;"Angestellte";29
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";18;"Kanduth, Robert";1962;"Selbstständig";42
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";19;"Klatzer, Sarah";1988;"Sozialarbeiterin";70
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";20;"Ruhdorfer, Ing. Bruno";1959;"Kaufmann";36
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";21;"Stippich, Elisabeth";1993;"Parlamentarische Mitarbeiterin";23
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";22;"Jantscher, Mag. Manfred";1969;"AHS-Lehrer";32
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";23;"Kohlmayer, Dipl.-Päd.Anna";1985;"Lehrerin";27
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";24;"Mack, Robert";1969;"Unternehmer";32
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";25;"Visocnik, Sabine";1969;"Restaurantfachfrau";12
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 1, Liste Sebastian Kurz - die neue Volkspartei (ÖVP)";26;"Rull, Ronny";1978;"Landesbediensteter";31
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";1;"Kucher, Philip";1981;"Abgeordneter zum Nationalrat";1179
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";2;"Oberrauner, Mag.  Dr. Petra";1965;"Internationale Unternehmensberaterin";259
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";3;"Köchl, Mag. Klaus";1961;"Beamter";447
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";4;"Lagger-Pöllinger, Marika";1969;"Bürgermeisterin";112
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";5;"Rakuscha, MEd.Maximilian Georg";1992;"Landesbediensteter";140
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";6;"Katholnig, Sarah";1984;"Angestellte";57
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";7;"Novak, Günther";1955;"Bundesrat/Bürgermeister";104
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";8;"Strodl, Dipl. Ing. Nicole";1986;"klinische und Gesundheitspsychologin";75
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";9;"Zußner, Karl";1970;"Bankangestellter";54
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";10;"Leitmann, Sigrid Anna";1961;"Radiologietechnologin";53
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";11;"Kröll, Mag. Alexander Matthias";1987;"AHS Lehrer";56
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";12;"Seunig, Verena";1989;"Angestellte";48
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";13;"Perdacher, Guntram";1966;"ÖBB-Angestellter";89
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";14;"Weratschnig, Michaela Magdalena";1997;"Studentin/Angestellte";38
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";15;"Liebhard, Markus Johannes";1979;"HTL Professor/Ingenierbüro selbstständig";75
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";16;"Kreuzer-Burger, Dr. Elke";1968;"Betriebswirtin";25
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";17;"Zoppoth, Mag.  (FH)Josef Martin";1977;"Angestellter";80
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";18;"Maier, Barbara";1963;"Angestellte";16
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";19;"Salzmann, Stefan";1982;"Auditor";71
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";20;"Nischelbitzer, Ulrike";1977;"Beamtin";8
"Landeswahlkreis";"Landesparteiliste Kärnten";"Liste 2, Sozialdemokratische Partei Österreichs (SPÖ)";21;"Pließnig, Fabio Hans Antonio";1998;"ÖBB-Angestellter";16
